EmployeeNumber,Age,Attrition,Department,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,Performance_status,Age_Group,Education_Level,JobInvolvement_level,Jobsatisfaction_Level,Distance_status,YearAtCompany_status
1,41,Yes,Sales,Female,Sales Executive,Single,5993,Yes,High,35-46,College,High,Very-High,Near,2-Star
2,49,No,Research & Development,Male,Research Scientist,Married,5130,No,Low,46-55,Below College,Medium,Medium,Near,2-Star
4,37,Yes,Research & Development,Male,Laboratory Technician,Single,2090,Yes,High,35-46,College,Medium,High,Near,Newbies
5,33,No,Research & Development,Female,Research Scientist,Married,2909,Yes,High,26-35,Masters,High,High,Near,2-Star
7,27,No,Research & Development,Male,Laboratory Technician,Married,3468,No,High,26-35,Below College,High,Medium,Near,Newbies
8,32,No,Research & Development,Male,Laboratory Technician,Single,3068,No,High,26-35,College,High,Very-High,Near,2-Star
10,59,No,Research & Development,Female,Laboratory Technician,Married,2670,Yes,Low,56?,Bachelor,Very-High,Low,Near,Newbies
11,30,No,Research & Development,Male,Laboratory Technician,Divorced,2693,No,Low,26-35,Below College,High,High,Very-Far,Newbies
12,38,No,Research & Development,Male,Manufacturing Director,Single,9526,No,Low,35-46,Bachelor,Medium,High,Very-Far,2-Star
13,36,No,Research & Development,Male,Healthcare Representative,Married,5237,No,High,35-46,Bachelor,High,High,Very-Far,2-Star
14,35,No,Research & Development,Male,Laboratory Technician,Married,2426,No,High,26-35,Bachelor,Very-High,Medium,Far,1-Star
15,29,No,Research & Development,Female,Laboratory Technician,Single,4193,Yes,High,26-35,College,Medium,High,Far,2-Star
16,31,No,Research & Development,Male,Research Scientist,Divorced,2911,No,High,26-35,Below College,High,High,Very-Far,1-Star
18,34,No,Research & Development,Male,Laboratory Technician,Divorced,2661,No,High,26-35,College,High,Very-High,Far,Newbies
19,28,Yes,Research & Development,Male,Laboratory Technician,Single,2028,Yes,High,26-35,Bachelor,Medium,High,Very-Far,1-Star
20,29,No,Research & Development,Female,Manufacturing Director,Divorced,9980,No,High,26-35,Masters,Very-High,Low,Very-Far,2-Star
21,32,No,Research & Development,Male,Research Scientist,Divorced,3298,Yes,High,26-35,College,Very-High,Medium,Near,2-Star
22,22,No,Research & Development,Male,Laboratory Technician,Divorced,2935,Yes,High,18-25,College,Very-High,Very-High,Far,Newbies
23,53,No,Sales,Female,Manager,Married,15427,No,High,46-55,Masters,Medium,Very-High,Near,5-Star
24,38,No,Research & Development,Male,Research Scientist,Single,3944,Yes,High,35-46,Bachelor,High,Very-High,Near,1-Star
26,24,No,Research & Development,Female,Manufacturing Director,Divorced,4011,No,High,18-25,College,Very-High,High,Far,1-Star
27,36,Yes,Sales,Male,Sales Representative,Single,3407,No,Low,35-46,Masters,Medium,Low,Near,1-Star
28,34,No,Research & Development,Female,Research Director,Single,11994,No,High,26-35,Masters,High,Medium,Near,3-Star
30,21,No,Research & Development,Male,Research Scientist,Single,1232,No,High,18-25,College,High,Very-High,Far,Newbies
31,34,Yes,Research & Development,Male,Research Scientist,Single,2960,No,High,26-35,Below College,High,Low,Near,1-Star
32,53,No,Research & Development,Female,Manager,Divorced,19094,No,High,46-55,Bachelor,High,High,Near,3-Star
33,32,Yes,Research & Development,Female,Research Scientist,Single,3919,Yes,Low,26-35,Below College,Low,Low,Far,2-Star
35,42,No,Sales,Male,Sales Executive,Married,6825,No,High,35-46,Masters,High,Medium,Near,2-Star
36,44,No,Research & Development,Female,Healthcare Representative,Married,10248,No,High,35-46,Masters,Medium,Very-High,Near,5-Star
38,46,No,Sales,Female,Manager,Single,18947,No,High,46-55,Masters,High,Low,Near,Newbies
39,33,No,Research & Development,Male,Laboratory Technician,Single,2496,No,High,26-35,Bachelor,High,Very-High,Near,Newbies
40,44,No,Research & Development,Male,Healthcare Representative,Married,6465,Yes,High,35-46,Masters,High,Very-High,Near,1-Star
41,30,No,Research & Development,Male,Laboratory Technician,Single,2206,No,High,26-35,College,Medium,High,Near,2-Star
42,39,Yes,Sales,Male,Sales Representative,Married,2086,No,High,35-46,Bachelor,High,Very-High,Near,Newbies
45,24,Yes,Research & Development,Male,Research Scientist,Married,2293,Yes,High,18-25,Bachelor,High,Very-High,Near,Newbies
46,43,No,Research & Development,Female,Research Scientist,Divorced,2645,No,High,35-46,College,Very-High,High,Near,1-Star
47,50,Yes,Sales,Male,Sales Representative,Married,2683,Yes,High,46-55,College,Medium,High,Near,1-Star
49,35,No,Sales,Female,Sales Representative,Married,2014,No,High,26-35,Bachelor,High,Very-High,Near,Newbies
51,36,No,Research & Development,Female,Research Scientist,Married,3419,Yes,High,35-46,Masters,Medium,Low,Near,Newbies
52,33,No,Sales,Female,Sales Executive,Married,5376,No,High,26-35,Bachelor,Very-High,Low,Near,1-Star
53,35,No,Research & Development,Male,Laboratory Technician,Divorced,1951,No,High,26-35,College,High,Very-High,Near,Newbies
54,27,No,Research & Development,Female,Laboratory Technician,Divorced,2341,No,High,26-35,Masters,High,Low,Near,Newbies
55,26,Yes,Research & Development,Male,Laboratory Technician,Single,2293,No,High,26-35,Bachelor,Low,High,Very-Far,Newbies
56,27,No,Sales,Male,Sales Executive,Single,8726,No,High,26-35,Bachelor,High,High,Near,2-Star
57,30,No,Research & Development,Female,Laboratory Technician,Single,4011,No,Low,26-35,College,High,Very-High,Near,3-Star
58,41,Yes,Research & Development,Female,Research Director,Married,19545,No,High,35-46,Bachelor,High,High,Far,5-Star
60,34,No,Sales,Male,Sales Executive,Single,4568,No,Low,26-35,Masters,High,High,Very-Far,2-Star
61,37,No,Research & Development,Male,Research Scientist,Married,3022,No,Low,35-46,College,High,Medium,Far,Newbies
62,46,No,Sales,Male,Sales Executive,Single,5772,Yes,Low,46-55,Masters,High,Very-High,Near,2-Star
63,35,No,Research & Development,Male,Laboratory Technician,Married,2269,No,High,26-35,Below College,Very-High,Very-High,Near,Newbies
64,48,Yes,Research & Development,Male,Laboratory Technician,Single,5381,Yes,High,46-55,College,Medium,High,Near,Newbies
65,28,Yes,Research & Development,Male,Laboratory Technician,Single,3441,Yes,High,26-35,Masters,High,High,Near,Newbies
68,44,No,Sales,Female,Sales Executive,Divorced,5454,Yes,Low,35-46,Doctor,High,Low,Near,1-Star
70,35,No,Research & Development,Male,Healthcare Representative,Married,9884,Yes,High,26-35,College,Medium,Low,Far,1-Star
72,26,No,Sales,Female,Sales Executive,Married,4157,Yes,High,26-35,Bachelor,Medium,Very-High,Very-Far,Newbies
73,33,No,Research & Development,Female,Research Director,Single,13458,Yes,High,26-35,College,High,Very-High,Near,3-Star
74,35,No,Sales,Male,Sales Executive,Married,9069,No,Low,26-35,Doctor,High,Low,Far,2-Star
75,35,No,Research & Development,Female,Laboratory Technician,Married,4014,Yes,High,26-35,Masters,High,Low,Very-Far,Newbies
76,31,No,Research & Development,Male,Laboratory Technician,Divorced,5915,No,Low,26-35,Masters,High,Very-High,Near,2-Star
77,37,No,Research & Development,Male,Manufacturing Director,Divorced,5993,No,High,35-46,Masters,Medium,High,Near,2-Star
78,32,No,Research & Development,Male,Manufacturing Director,Married,6162,Yes,Low,26-35,Bachelor,High,Very-High,Near,2-Star
79,38,No,Research & Development,Female,Laboratory Technician,Single,2406,No,High,35-46,Doctor,High,Very-High,Very-Far,2-Star
80,50,No,Research & Development,Female,Research Director,Divorced,18740,Yes,High,46-55,College,Medium,High,Near,Elders
81,59,No,Sales,Female,Sales Executive,Single,7637,No,High,56?,Bachelor,High,Low,Very-Far,5-Star
83,36,No,Research & Development,Female,Healthcare Representative,Divorced,10096,No,High,35-46,Bachelor,High,High,Near,4-Star
84,55,No,Research & Development,Female,Manager,Divorced,14756,Yes,High,46-55,Bachelor,High,High,Near,1-Star
85,36,No,Research & Development,Male,Manufacturing Director,Single,6499,No,High,35-46,Bachelor,Medium,Medium,Far,2-Star
86,45,No,Research & Development,Male,Research Scientist,Divorced,9724,No,High,35-46,Bachelor,High,Low,Near,Newbies
88,35,No,Research & Development,Male,Research Scientist,Married,2194,No,High,26-35,Bachelor,High,Low,Near,1-Star
90,36,Yes,Research & Development,Male,Research Scientist,Married,3388,Yes,High,35-46,Bachelor,Medium,High,Near,Newbies
91,59,No,Sales,Female,Sales Executive,Single,5473,No,High,56?,Below College,Medium,High,Near,1-Star
94,29,No,Research & Development,Male,Research Scientist,Married,2703,No,Low,26-35,Bachelor,High,Medium,Near,1-Star
95,31,No,Research & Development,Male,Research Scientist,Single,2501,No,High,26-35,Masters,High,Medium,Near,Newbies
96,32,No,Research & Development,Male,Research Scientist,Married,6220,No,High,26-35,Bachelor,High,Medium,Near,2-Star
97,36,No,Research & Development,Female,Laboratory Technician,Married,3038,No,High,35-46,Bachelor,Very-High,Very-High,Near,Newbies
98,31,No,Research & Development,Female,Manufacturing Director,Single,4424,No,Low,26-35,Masters,High,Very-High,Near,3-Star
100,35,No,Sales,Male,Sales Executive,Single,4312,No,High,26-35,Masters,Medium,Low,Near,3-Star
101,45,No,Research & Development,Male,Research Director,Married,13245,Yes,High,35-46,Masters,High,Low,Near,Newbies
102,37,No,Research & Development,Male,Research Director,Single,13664,No,High,35-46,Masters,High,High,Near,1-Star
103,46,No,Human Resources,Male,Human Resources,Divorced,5021,Yes,Low,46-55,College,High,Medium,Near,1-Star
104,30,No,Research & Development,Male,Laboratory Technician,Married,5126,Yes,High,26-35,Below College,Medium,Very-High,Near,2-Star
105,35,No,Research & Development,Male,Research Scientist,Single,2859,No,High,26-35,Bachelor,Medium,High,Near,2-Star
106,55,No,Sales,Male,Sales Executive,Married,10239,No,High,46-55,College,High,Very-High,Near,Newbies
107,38,No,Research & Development,Female,Research Scientist,Divorced,5329,Yes,High,35-46,Bachelor,Low,Very-High,Near,3-Star
110,34,No,Research & Development,Male,Manufacturing Director,Married,4325,No,High,26-35,College,High,Medium,Near,1-Star
112,56,No,Research & Development,Male,Manufacturing Director,Single,7260,No,High,56?,Bachelor,Low,Very-High,Near,2-Star
113,23,No,Sales,Male,Sales Representative,Divorced,2322,No,High,18-25,Below College,High,Low,Near,Newbies
116,51,No,Research & Development,Male,Laboratory Technician,Married,2075,No,Low,46-55,Masters,High,Very-High,Near,1-Star
117,30,No,Research & Development,Male,Healthcare Representative,Married,4152,No,High,26-35,Bachelor,Medium,Very-High,Near,3-Star
118,46,Yes,Sales,Male,Sales Executive,Single,9619,No,High,46-55,College,Medium,Very-High,Near,2-Star
119,40,No,Research & Development,Male,Healthcare Representative,Married,13503,No,Low,35-46,Masters,Medium,Medium,Near,5-Star
120,51,No,Sales,Male,Sales Executive,Single,5441,Yes,Low,46-55,Masters,High,Very-High,Very-Far,2-Star
121,30,No,Sales,Female,Sales Executive,Divorced,5209,Yes,High,26-35,College,Medium,Medium,Near,3-Star
124,46,No,Research & Development,Male,Healthcare Representative,Married,10673,Yes,High,46-55,Bachelor,Medium,Low,Near,2-Star
125,32,No,Sales,Male,Sales Executive,Single,5010,No,High,26-35,Masters,High,High,Near,3-Star
126,54,No,Research & Development,Female,Research Director,Married,13549,No,High,46-55,Masters,High,High,Near,1-Star
128,24,No,Sales,Female,Sales Executive,Married,4999,No,Low,18-25,College,High,High,Near,1-Star
129,28,No,Sales,Male,Sales Executive,Married,4221,No,High,26-35,Bachelor,High,High,Near,1-Star
131,58,No,Sales,Male,Sales Executive,Single,13872,No,High,56?,Masters,High,High,Near,Elders
132,44,No,Research & Development,Male,Laboratory Technician,Married,2042,No,High,35-46,Bachelor,High,Medium,Very-Far,1-Star
133,37,Yes,Human Resources,Male,Human Resources,Divorced,2073,Yes,Low,35-46,Masters,High,Low,Near,1-Star
134,32,No,Research & Development,Male,Research Scientist,Single,2956,No,High,26-35,Below College,High,Low,Near,Newbies
137,20,Yes,Research & Development,Female,Laboratory Technician,Single,2926,Yes,High,18-25,Bachelor,Medium,Very-High,Near,Newbies
138,34,No,Research & Development,Female,Research Scientist,Single,4809,No,High,26-35,Masters,High,High,Near,4-Star
139,37,No,Research & Development,Male,Healthcare Representative,Divorced,5163,No,High,35-46,College,Medium,Very-High,Near,Newbies
140,59,No,Human Resources,Female,Manager,Married,18844,No,Low,56?,Masters,Medium,Very-High,Near,1-Star
141,50,No,Research & Development,Female,Research Director,Married,18172,Yes,High,46-55,Bachelor,High,Medium,Near,2-Star
142,25,Yes,Sales,Male,Sales Executive,Single,5744,Yes,High,18-25,Bachelor,Medium,High,Near,2-Star
143,25,No,Research & Development,Male,Research Scientist,Married,2889,No,High,18-25,Below College,Medium,Very-High,Near,Newbies
144,22,No,Research & Development,Female,Laboratory Technician,Single,2871,No,High,18-25,Bachelor,High,Very-High,Far,Newbies
145,51,No,Research & Development,Female,Healthcare Representative,Single,7484,No,Low,46-55,Masters,Medium,Low,Near,3-Star
147,34,Yes,Research & Development,Male,Laboratory Technician,Single,6074,Yes,Low,26-35,Bachelor,Low,High,Near,2-Star
148,54,No,Human Resources,Female,Manager,Single,17328,Yes,High,46-55,Bachelor,Very-High,Very-High,Very-Far,1-Star
150,24,No,Research & Development,Male,Laboratory Technician,Married,2774,No,High,18-25,Below College,High,High,Far,1-Star
151,34,No,Research & Development,Female,Research Scientist,Divorced,4505,No,High,26-35,Masters,Medium,Medium,Near,Newbies
152,37,No,Sales,Male,Sales Executive,Single,7428,No,High,35-46,Bachelor,High,Very-High,Near,1-Star
153,34,No,Research & Development,Female,Manager,Single,11631,No,High,26-35,Bachelor,Medium,Low,Near,3-Star
154,36,No,Sales,Female,Sales Executive,Married,9738,No,High,35-46,College,High,Very-High,Far,2-Star
155,36,No,Research & Development,Female,Laboratory Technician,Divorced,2835,No,Low,35-46,College,High,Very-High,Near,Newbies
158,43,No,Sales,Male,Manager,Married,16959,Yes,High,35-46,College,High,Very-High,Very-Far,5-Star
159,30,No,Research & Development,Male,Research Scientist,Divorced,2613,No,Low,26-35,Bachelor,Low,High,Very-Far,2-Star
